3152,User Name for 3152,16,1,29730,0,0,51064,634,5691,30,0,0,6062,Yes,F,Under 20
2596,User Name for 2596,19,1,78481,54667,0,50937,713,12843,38,40937,62632,7957,No,M,Under 20
220,User Name for 220,18,1,38626,0,0,90471,652,733,20,0,0,6247,Yes,F,Under 20
1266,User Name for 1266,41,9,63960,66722,2,90471,714,6845,30,32502,60664,9266,No,M,40-49
3913,User Name for 3913,2,1,11880,0,0,66953,565,-5136,19,0,0,0,Yes,F,Under 20
1015,User Name for 1015,5,1,2212,0,0,90433,525,1393,23,0,0,0,Yes,M,Under 20
1118,User Name for 1118,4,1,5991,0,0,90434,581,1845,28,0,0,0,Yes,F,Under 20
2183,User Name for 2183,13,1,5833,0,0,67067,517,1876,23,0,0,0,Yes,M,Under 20
1120,User Name for 1120,10,1,22643,0,0,90464,628,2436,26,0,0,0,Yes,F,Under 20
1777,User Name for 1777,15,1,7197,0,0,90476,510,28,26,0,0,0,Yes,M,Under 20
443,User Name for 443,47,18,128233,211155,0,50995,756,-1538,44,18190,36379,7276,No,M,40-49
3921,User Name for 3921,8,1,7584,0,0,28277,518,9859,15,0,0,0,Yes,F,Under 20
2600,User Name for 2600,19,17,102986,74594,0,90416,717,11413,26,17123,34244,77050,No,M,Under 20
1270,User Name for 1270,47,12,79587,137864,1,51066,724,1525,30,17474,34948,6991,No,M,40-49
3164,User Name for 3164,4,1,4427,0,0,66959,542,8032,23,0,0,0,Yes,F,Under 20
3593,User Name for 3593,11,1,4708,0,0,39106,521,2148,30,0,0,0,Yes,M,Under 20
1575,User Name for 1575,45,10,85554,125522,1,90468,743,4010,25,17541,35081,7017,No,M,40-49
3503,User Name for 3503,12,1,12857,0,0,56068,618,10440,26,0,0,0,Yes,U,Under 20
3597,User Name for 3597,17,1,60568,82531,0,90433,710,9199,24,16256,32512,73153,No,M,Under 20
3511,User Name for 3511,12,1,9487,0,0,68169,541,1356,21,0,0,0,Yes,U,Under 20
2610,User Name for 2610,43,13,125540,178510,0,90488,743,-1951,29,18072,36144,5422,No,M,40-49
2343,User Name for 2343,53,16,94055,141582,1,50936,717,3295,37,17845,35689,80301,No,M,50-59
2187,User Name for 2187,17,1,58426,62792,0,50935,705,6831,34,16202,32404,6482,Yes,M,Under 20
