11.222.33.10,PVGN508XXX45A,,,USA,OH,Columbus,43218,39.969036,-83.011389
44.555.66.01,PVGN508XXX48A,,,USA,IL,Dundee,60118,42.022867,-88.417789
55.666.77.01,PVGN508XXX49A,,,USA,CA,Brawley,92227,33.096382,-115.280168
66.777.88.01,PVGN508XXX50A,,,USA,MO,Lees Summit,64086,38.944006,-94.288086
77.888.99.01,PVGN508XXX51A,,,USA,NY,Pearl River,10965,41.061476,-74.018283
Unknown,Unknown,,,,,,,,
11.222.33.44,VKGN926XXX01A,,,USA,TX,Coppell,75019,32.767268,-96.777626
22.333.44.55,VKGN926XXX02A,,,USA,TX,Tyler,75701,32.288029,-95.200403
102.25.101.129,VKGN926XX03A,,,USA,AK,Anchorage,99501,61.287624,-149.486981
105.23.110.26,VKGN926XXX04A,,,USA,MN,Moorhead,56560,46.803546,-96.557389
201.110.123.103,VKGN926XXX05A,,,USA,WV,Baxter,26560,39.514343,-80.218538
201.90.123.103,VKGN926XXX06A,,,USA,TX,El Paso,88531,31.694842,-106.299987
206.73.118.24,VKGN926XXX017A,,,USA,NY,Huletts Landing,12841,43.646953,-73.508308
10.66.59.248,VKGN926XXX13A,,,USA,VT,North Thetford,5054,43.995961,-72.411393
22.333.44.10,PVGN508XXX46A,,,USA,AK,Anchorage,99501,61.287624,-149.486981
33.444.55.10,PVGN508XXX47A,,,USA,AK,Kaktovik,99747,66.693255,-153.993988
88.999.11.01,PVGN508XXX52A,,,USA,NY,Fultonville,12072,42.877533,-74.404477
99.111.22.01,PVGN508XXX53A,,,USA,OH,Tiltonsville,43963,40.226760,-80.738107
04.111.22.01,PVGN508XXX45A,,,USA,PA,Gwynedd Valley,19437,40.181054,-75.257855
