199.30.20.158,HOST_NAME in Oshtemo 199.30.20.158,USA,MI,Oshtemo,49019
85.25.71.129,HOST_NAME in Wayne 85.25.71.129,USA,MI,Wayne,48184
91.114.221.173,HOST_NAME in Algonac 91.114.221.173,USA,MI,Algonac,48001
155.94.131.116,HOST_NAME in Lake Orion 155.94.131.116,USA,MI,Lake Orion,48362
198.27.82.156,HOST_NAME in Hubert 198.27.82.156,USA,NC,Hubert,28539
37.359.89.57,HOST_NAME in Oxford 37.359.89.57,USA,MI,Oxford,48371
80.122.7.159,HOST_NAME in Whitmore Lake 80.122.7.159,USA,MI,Whitmore Lake,48189
69.197.190.78,HOST_NAME in Dewitt 69.197.190.78,USA,MI,Dewitt,48820
93.118.73.264,HOST_NAME in Port Huron 93.118.73.264,USA,MI,Port Huron,48061
25.654.29.17,HOST_NAME in Maxton 25.654.29.17,USA,NC,Maxton,28364
80.93.217.52,HOST_NAME in Greenville 80.93.217.52,USA,MI,Greenville,48838
46.105.8.34,HOST_NAME in Albion 46.105.8.34,USA,MI,Albion,49224
157.55.33.33,HOST_NAME in Port Orange 157.55.33.33,USA,FL,Port Orange,32129
95.621.12.39,HOST_NAME in Williamstown 95.621.12.39,USA,NJ,Williamstown,8094
69.12.76.86,HOST_NAME in Freeland 69.12.76.86,USA,MI,Freeland,48623
190.223.57.195,HOST_NAME in Zeigler 190.223.57.195,USA,IL,Zeigler,62999
25.654.29.87,HOST_NAME in Milford 25.654.29.87,USA,MI,Milford,48381
85.242.144.54,HOST_NAME in Hightstown 85.242.144.54,USA,NJ,Hightstown,8520
87.929.56.76,HOST_NAME in Washington 87.929.56.76,USA,MI,Washington,48095
107.155.81.39,HOST_NAME in Scarsdale 107.155.81.39,USA,NY,Scarsdale,10583
87.929.56.91,HOST_NAME in Wyandotte 87.929.56.91,USA,MI,Wyandotte,48192
54.228.150.150,HOST_NAME in Stony Point 54.228.150.150,USA,NY,Stony Point,10980
78.190.96.21,HOST_NAME in Okemos 78.190.96.21,USA,MI,Okemos,48980
212.3.128.90,HOST_NAME in North Bergen 212.3.128.90,USA,NJ,North Bergen,7047
192.121.44.259,HOST_NAME in Swartz Creek 192.121.44.259,USA,MI,Swartz Creek,48473
108.27.246.137,HOST_NAME in Cornelius 108.27.246.137,USA,NC,Cornelius,28031
87.632.43.81,HOST_NAME in Saint Joseph 87.632.43.81,USA,MI,Saint Joseph,49085
108.21.102.252,HOST_NAME in Yaphank 108.21.102.252,USA,NY,Yaphank,11738
157.55.33.24,HOST_NAME in Portage 157.55.33.24,USA,MI,Portage,49081
61.224.18.54,HOST_NAME in Sparta 61.224.18.54,USA,NJ,Sparta,7871
