18830,41.820346,-75.804630,Springville,PA,Susquehanna,USA
18844,41.820346,-75.804630,Springville,PA,Susquehanna,USA
18831,41.880928,-76.585448,Milan,PA,Bradford,USA
19507,40.491214,-76.269231,Bethel,PA,Berks,USA
19543,40.367731,-75.891610,Morgantown,PA,Berks,USA
19548,40.407173,-75.984901,Reading,PA,Berks,USA
19640,40.407173,-75.984901,Reading,PA,Berks,USA
24147,37.363616,-80.749864,Rich Creek,VA,Giles,USA
24161,36.982776,-79.548523,Sandy Level,VA,Pittsylvania,USA
24167,37.314577,-80.722619,Staffordsville,VA,Giles,USA
19601,40.357242,-75.940153,Reading,PA,Berks,USA
19602,40.326546,-75.915919,Reading,PA,Berks,USA
19603,40.388442,-75.963055,Reading,PA,Berks,USA
19604,40.360942,-75.927852,Reading,PA,Berks,USA
19605,40.404942,-75.941603,Reading,PA,Berks,USA
19606,40.335119,-75.874976,Reading,PA,Berks,USA
19607,40.299463,-75.987606,Reading,PA,Berks,USA
19608,40.316342,-75.935521,Reading,PA,Berks,USA
19609,40.327992,-75.990807,Reading,PA,Berks,USA
19610,40.338017,-75.978006,Reading,PA,Berks,USA
19611,40.303892,-75.938853,Reading,PA,Berks,USA
19612,40.438900,-75.885303,Reading,PA,Berks,USA
24216,36.940452,-82.665879,Appalachia,VA,Wise,USA
24219,36.894806,-82.654215,Big Stone Gap,VA,Wise,USA
24226,37.159677,-82.358274,Clinchco,VA,Dickenson,USA
24228,37.149797,-82.463069,Clintwood,VA,Dickenson,USA
24230,36.971586,-82.475496,Coeburn,VA,Wise,USA
24246,36.864429,-82.737469,East Stone Gap,VA,Wise,USA
24256,37.183990,-82.323976,Haysi,VA,Dickenson,USA
24260,36.963056,-82.013310,Honaker,VA,Russell,USA
15026,40.490003,-80.290333,Clinton,PA,Allegheny,USA
24312,36.854655,-80.922512,Austinville,VA,Wythe,USA
24313,36.897395,-80.789443,Barren Springs,VA,Wythe,USA
24316,36.941611,-81.620331,Broadford,VA,Smyth,USA
24319,36.798213,-81.617482,Chilhowie,VA,Smyth,USA
24330,36.712696,-81.042703,Fries,VA,Grayson,USA
24333,36.660281,-80.913605,Galax,VA,Galax City,USA
15202,40.328598,-79.949182,Pittsburgh,PA,Allegheny,USA
15203,40.425369,-79.979914,Pittsburgh,PA,Allegheny,USA
15204,40.455368,-80.064416,Pittsburgh,PA,Allegheny,USA
15205,40.432205,-80.102101,Pittsburgh,PA,Allegheny,USA
15206,40.416419,-80.075427,Pittsburgh,PA,Allegheny,USA
15207,40.356169,-79.982123,Pittsburgh,PA,Allegheny,USA
15208,40.519017,-80.166080,Pittsburgh,PA,Allegheny,USA
15209,40.392719,-80.042375,Pittsburgh,PA,Allegheny,USA
15210,40.419662,-80.027243,Pittsburgh,PA,Allegheny,USA
15211,40.429519,-80.014375,Pittsburgh,PA,Allegheny,USA
15212,40.428169,-80.074977,Pittsburgh,PA,Allegheny,USA
15213,40.423069,-79.980624,Pittsburgh,PA,Allegheny,USA
15215,40.377569,-79.994074,Pittsburgh,PA,Allegheny,USA
15216,40.400091,-80.046176,Pittsburgh,PA,Allegheny,USA
15217,40.385219,-80.054876,Pittsburgh,PA,Allegheny,USA
15219,40.375351,-80.017075,Pittsburgh,PA,Allegheny,USA
15220,40.418119,-80.052576,Pittsburgh,PA,Allegheny,USA
15221,40.414611,-80.043342,Pittsburgh,PA,Allegheny,USA
15223,40.457418,-80.044926,Pittsburgh,PA,Allegheny,USA
15225,40.505118,-80.115528,Pittsburgh,PA,Allegheny,USA
15226,40.400140,-80.016074,Pittsburgh,PA,Allegheny,USA
15227,40.380519,-79.966723,Pittsburgh,PA,Allegheny,USA
15228,40.369569,-80.043925,Pittsburgh,PA,Allegheny,USA
15234,40.368819,-80.022399,Pittsburgh,PA,Allegheny,USA
15235,40.398608,-80.000854,Pittsburgh,PA,Allegheny,USA
15236,40.335140,-79.983243,Pittsburgh,PA,Allegheny,USA
15238,40.380019,-80.006474,Pittsburgh,PA,Allegheny,USA
15241,40.332266,-80.081026,Pittsburgh,PA,Allegheny,USA
15243,40.384169,-80.072876,Pittsburgh,PA,Allegheny,USA
15275,40.449520,-80.179475,Pittsburgh,PA,Allegheny,USA
24360,36.905629,-80.924423,Max Meadows,VA,Wythe,USA
24368,36.880988,-81.255260,Rural Retreat,VA,Wythe,USA
24370,36.906696,-81.645388,Saltville,VA,Smyth,USA
24373,36.826371,-81.549231,Seven Mile Ford,VA,Smyth,USA
24411,38.091705,-79.322363,Augusta Springs,VA,Augusta,USA
24422,37.824232,-79.823119,Clifton Forge,VA,Clifton Forge City,USA
24431,38.153856,-78.860085,Crimora,VA,Augusta,USA
24448,37.796454,-79.785987,Iron Gate,VA,Alleghany,USA
24457,37.780396,-79.882830,Low Moor,VA,Alleghany,USA
24472,37.941296,-79.276332,Raphine,VA,Rockbridge,USA
24517,37.225543,-79.241180,Altavista,VA,Campbell,USA
24522,37.356134,-78.848202,Appomattox,VA,Appomattox,USA
24526,37.516659,-79.387520,Big Island,VA,Bedford,USA
24527,36.710176,-79.338100,Blairs,VA,Pittsylvania,USA
24528,37.117502,-79.074279,Brookneal,VA,Campbell,USA
24530,36.785155,-79.607080,Callands,VA,Pittsylvania,USA
24534,36.875823,-78.748218,Clover,VA,Halifax,USA
24535,36.611317,-78.945519,Cluster Springs,VA,Halifax,USA
